gene_name	gene_id
abaA	TM030196.00
abc1	TM060124.00
abc2	TM070129.00
acuD	TM020461.00
alb1	TM020627.00
areA	TM060929.00
atcA	TM070397.00
atfA	TM010771.00
brlA	TM040144.00
cflA	TM040519.00
cflB	TM080194.00
cnaA	TM020778.00
cpeA	TM060073.00
dcl-1	TM011556.00
dcl-2	TM100006.00
drkA	TM050331.00
ergM	TM010907.00
FtrA 	TM030775.00
ftrC	TM030776.00
gasA	TM021189.00
gasC	TM021159.00
hgrA	TM030675.00
hmgR	TM011653.00
hpdA	TM041020.00
hsp30	TM070621.00
hsp70	TM060598.00
ligD	TM011598.00
madsA	TM030606.00
MCD	TM010207.00
mp1	TM070120.00
myoB	TM020290.00
pakA	TM011505.00
pakB	TM040519.00
pbrB	TM020621.00
pepA	TM120013.00
pks11	TM060090.00
pks12	TM060085.00
pkuA	TM012231.00
PmHHK1	TM010723.00
popO	TM021706.00
qde-2	TM051138.00
rasA	TM011760.00
response regulators 1	TM060115.00
rfxA	TM020907.00
rttA	TM020729.00
sadA	TM020699.00
sakA	TM021158.00
sakA	TM021158.00
sidA	TM040654.00
sidX	TM060309.00
simA	TM010313.00
skn7	TM020209.00
slnA	TM010200.00
sodA	TM120005.00
sreA	TM011751.00
sskA	TM020259.00
stuA	TM040621.00
tbpA	TM010462.00
tupA	TM070280.00
two component 1	TM060286.00
two component 5	TM010722.00
two component 7	TM060883.00
two component 8	TM011483.00
yakA 	TM040968.00
yapA	TM021646.00
ystA	TM100069.00
